,,,,,IMPACT to nutrients unit conversion rate,energy kcal/100g,protein g/100g, fat g/100g,carbohydrates g/100g,dietary fibre g/100g,calcium mg/100g ,Phosphorus mg/100g ,magnesium mg/100g  ,potassium mg/100g ,sodium mg/100g ,iron mg/100g ,zinc mg/100g ,copper mg/100g,manganese mg/100g,vitamin a equivalent mcg_RAE (_g/100g),vitamin d (_g),vitamin e (alpha-tocopherol) mg/100g,vitamin c mg/100g,tiamin mg/100g,riboflavin mg/100g,niacin mg/100g,vitamin b6 mg/100g,folate _g/100g,vitamin b12 _g/100g,pantothenic acid (mg/100g)
Name,IMPACT_code,category,Plant Part,Source,conversion,ENERGYC,PROTC,FATC,CHOC,FIBC,CAC,PC,MGC,KC,NAC,FEC,ZNC,CUC,MNC,VITAC,VITDC,VITEC,VITCC,THIAC,RIBFC,NIAC,VITB6C,FOLC,VITB12C,PANTC
Bananas,cbana,fruit,Ripe,Harvard Nutrient Dbase,1.000,89.000,1.100,0.300,22.800,2.600,6.000,20.000,29.000,396.000,1.000,0.300,0.200,0.100,0.200,8.000,0.000,0.000,9.000,0.100,0.100,0.500,0.600,19.000,0.000,0.300
Barley,cbarl,cereal,,India Nutrient dbase,1.000,345.000,10.500,1.600,74.520,,32.000,296.000,96.000,309.000,4.000,2.680,2.000,,,0.000,0.000,0.570,0.000,0.370,0.114,6.269,0.396,8.000,0.000,
Beans,cbean,beverage,Average,Harvard Nutrient Dbase,1.000,180.500,12.267,0.683,32.717,11.100,45.000,216.600,73.000,546.333,4.600,4.100,1.733,0.400,0.733,12.333,0.000,0.000,1.117,1.933,0.133,0.900,0.100,242.383,0.000,0.300
Bovine Meat,cbeef,meat,,,0.695,257,17.9,20,0,0,3,140,17,245,38,1.2,3,0.1,0,0,0,0,0,0.1,0.1,2.3,0.2,4,1.4,0.3
Coffee,ccafe,beverage,,,1.000,241.000,12.200,0.500,41.100,0.000,141.000,303.000,327.000,3535.000,37.000,4.410,0.350,,,0.000,0.000,0.000,0.000,0.008,0.074,28.173,0.029,0.000,0.000,
Cassava,ccass,roots and tubers,Average,Harvard Nutrient Dbase,1.000,229.750,1.925,0.500,55.800,2.625,31.750,108.250,19.750,420.000,6.500,1.225,0.500,0.100,0.200,8.750,0.000,0.050,48.650,0.200,0.050,1.075,0.400,28.500,0.000,0.450
Chickpeas,cchkp,pulse,,copied from beans,1.000,180.500,12.267,0.683,32.717,11.100,45.000,216.600,73.000,546.333,4.600,4.100,1.733,0.400,0.733,12.333,0.000,0.000,1.117,1.933,0.133,0.900,0.100,242.383,0.000,0.300
Cocoa Beans,ccoco,beverage,"dry powder, unsweetened",USDA,1.000,228.000,19.600,13.700,57.900,33.200,128.000,734.000,499.000,1524.000,21.000,13.860,6.810,3.788,0.000,0.000,0.000,0.000,0.000,0.078,0.241,2.185,0.118,32.000,0.000,0.254
Cotton,ccott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowpeas,ccowp,pulse,,copied from beans,1.000,180.500,12.267,0.683,32.717,11.100,45.000,216.600,73.000,546.333,4.600,4.100,1.733,0.400,0.733,12.333,0.000,0.000,1.117,1.933,0.133,0.900,0.100,242.383,0.000,0.300
Eggs,ceggs,eggs,,,1.000,155,12.6,10.6,1.1,0,50,172,10,126,124,1.2,1.1,0,0,169,1,1,0,0.1,0.5,0.1,0.1,44,1.1,1.4
Fodders,cfodr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut Meal,cgdml,vegetable meal,,copied from pulses,1.000,235.143,14.357,2.240,40.893,12.771,68.286,328.143,99.857,697.714,12.000,5.594,2.790,0.593,1.203,29.750,0.000,0.290,14.000,0.443,0.201,1.812,0.390,407.143,0.000,1.050
Groundnuts for Oil,cgdnt,oil seed,,coped from Groundnuts in Shell Eq,1.000,567.000,25.800,49.240,16.130,8.500,92.000,376.000,168.000,705.000,18.000,4.580,3.270,1.100,1.900,0.000,0.000,9.000,0.000,0.640,0.135,12.066,0.300,126.000,0.000,1.400
Groundnut Oil,cgdol,vegetable oil,peanut oil equivalent,USDA,1.000,884.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.010,,,0.000,0.000,15.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Groundnuts in Shell Eq,cgrnd,oil seed,in shell,Harvard Nutrient Dbase,1.000,567.000,25.800,49.240,16.130,8.500,92.000,376.000,168.000,705.000,18.000,4.580,3.270,1.100,1.900,0.000,0.000,9.000,0.000,0.640,0.135,12.066,0.300,126.000,0.000,1.400
Grass,cgrss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutton   Goat Meat,clamb,meat,,,0.658,269,24.9,18,0,0,4,194,23,340,53,1.7,4.1,0.1,0,0,0,0,0,0.1,0.2,3.2,0.3,6,1.9,0.4
Lentils,clent,pulse,,copied from beans,1.000,180.500,12.267,0.683,32.717,11.100,45.000,216.600,73.000,546.333,4.600,4.100,1.733,0.400,0.733,12.333,0.000,0.000,1.117,1.933,0.133,0.900,0.100,242.383,0.000,0.300
Maize,cmaiz,cereal,Average,Harvard Nutrient Dbase,1.000,251.667,6.050,2.617,54.517,5.367,4.333,182.500,85.667,276.833,27.500,2.233,1.233,0.133,1.117,3.000,0.000,0.400,2.833,0.317,0.150,2.750,0.183,35.500,0.000,0.633
Milk Excluding Butter,cmilk,milk,cattle,,1.000,60,98,18.1,2.4,0,0,7,69,21,122,39,0.3,0.3,0,0,0,0,0,17,0.1,0.1,0.7,0.5,51,0
Millet,cmill,cereal,Average,Harvard Nutrient Dbase,1.000,344.500,9.100,3.150,72.450,19.050,158.500,289.500,82.000,357.500,11.000,5.350,2.150,0.800,3.350,12.500,0.000,0.000,0.000,0.300,0.150,1.450,0.250,21.000,0.000,0.450
Cereals Other,cocer,cereal,"average (barley, oats, rice, wheat, maize, millet)",,1.000,339.806,10.190,2.706,70.315,8.717,45.917,258.278,87.000,270.000,7.861,2.886,1.931,0.365,2.363,2.583,0.000,0.261,0.472,0.353,0.126,2.716,0.202,25.417,0.000,0.846
