"","region","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050"
"1","AFG",0.735049076,0.808778503,0.889903392,0.979165549,1.077381187,1.185448389,1.216251477,1.247854964,1.280279646,1.313546862,1.347678505,1.373543672,1.399905254,1.426772778,1.454155953,1.482064677,1.521913574,1.562833905,1.604854478,1.648004876,1.692315477,1.744762255,1.798834417,1.854582337,1.912057948,1.971314793,2.037778568,2.1064832,2.177504239,2.250919785,2.326810569,2.413888326,2.504224852,2.5979421,2.695166591,2.796029577,2.908327818,3.025136345,3.146636308,3.273016131,3.404471805,3.547551201,3.69664378,3.852002258,4.013889972,4.182581324
"2","AGO",3.414291009,3.709942333,4.031194786,4.38026523,4.759562487,5.171703968,5.299975122,5.43142772,5.566140671,5.704194839,5.845673095,6.033299136,6.22694733,6.426810965,6.633089538,6.845988944,6.877434507,6.909024508,6.940759611,6.972640483,7.004667792,6.974978972,6.945415987,6.915978302,6.886665387,6.857476713,6.786543227,6.716343475,6.646869867,6.578114891,6.510071114,6.490569563,6.47112643,6.451741541,6.432414722,6.413145798,6.468978287,6.525296852,6.582105722,6.639409167,6.697211493,6.829675089,6.964758671,7.10251406,7.242994102,7.386252687
"3","ALB",6.098735184,6.383196705,6.680926282,6.992542772,7.318693899,7.660057598,7.78993694,7.922018438,8.05633943,8.192937889,8.331852429,8.525117018,8.722864548,8.925199004,9.132226785,9.344056755,9.570789569,9.803024036,10.04089366,10.28453516,10.53408861,10.7827824,11.03734748,11.29792245,11.56464919,11.83767295,12.10237461,12.37299524,12.64966722,12.93252584,13.22170945,13.51696741,13.81881887,14.12741106,14.44289452,14.76542313,15.08762376,15.41685523,15.75327096,16.09702771,16.44828568,16.78100653,17.12045776,17.4667755,17.82009867,18.18056896
"4","ARG",10.83537714,11.46362234,12.12829377,12.83150347,13.57548592,14.36260516,14.87283494,15.40119058,15.94831599,16.51487795,17.10156697,17.62950945,18.17375006,18.73479191,19.31315369,19.90937007,20.47005444,21.04652871,21.63923755,22.24863816,22.87520061,23.46145407,24.06273223,24.67942015,25.31191276,25.96061511,26.56685586,27.18725374,27.82213935,28.47185102,29.13673497,29.7398421,30.35543307,30.98376628,31.62510548,32.27971989,32.88395572,33.49950209,34.12657071,34.76537727,35.41614149,36.05159138,36.69844275,37.35690018,38.0271719,38.70946989
"5","ARM",4.110491475,4.257599503,4.409972296,4.567798272,4.731272591,4.900597399,5.088265833,5.283121032,5.485438213,5.695503133,5.913612492,6.131301295,6.357003545,6.591014227,6.833639188,7.085195532,7.333408601,7.590317228,7.856226041,8.131450341,8.416316473,8.696835778,8.986704907,9.286235495,9.59574956,9.915579857,10.2215896,10.53704326,10.8622323,11.19745716,11.54302756,11.87147547,12.20926911,12.5566744,12.91396485,13.28142171,13.61838675,13.96390098,14.31818131,14.68145013,15.05393551,15.39174524,15.7371354,16.09027611,16.45134128,16.82050874
"6","AUS",32.48191109,33.10649186,33.74308243,34.39191373,35.05322112,35.72724451,36.35301816,36.98975243,37.63763929,38.29687409,38.96765559,39.68667546,40.41896248,41.16476144,41.92432167,42.69789709,43.30179971,43.91424369,44.53534985,45.1652407,45.80404048,46.33923602,46.88068504,47.42846059,47.98263661,48.54328787,49.05048362,49.56297871,50.08082852,50.60408898,51.13281663,51.6520141,52.17648344,52.70627819,53.24145242,53.78206076,54.32648313,54.87641656,55.43191682,55.99304027,56.55984384,57.06857791,57.58188786,58.09981483,58.62240035,59.14968633
"7","AUT",33.76499744,34.07930103,34.39653033,34.71671258,35.03987526,35.36604613,35.99586663,36.63690337,37.28935609,37.9534281,38.62932631,39.19086106,39.76055855,40.33853744,40.92491812,41.51982272,42.02921173,42.54485021,43.06681485,43.59518325,44.13003397,44.65416789,45.18452697,45.72118513,46.26421721,46.81369889,47.40209786,47.99789239,48.60117543,49.2120411,49.83058471,50.51714242,51.21315941,51.91876601,52.63409434,53.35927836,54.09761534,54.84616875,55.60507996,56.37449229,57.15455105,57.88833649,58.63154273,59.3842907,60.14670292,60.91890346
"8","AZE",4.591899683,5.227838576,5.951849574,6.776129913,7.71456604,8.782967556,8.912391561,9.043722731,9.17698917,9.312219397,9.449442348,9.639187464,9.832742669,10.03018447,10.23159091,10.43704159,10.56738201,10.69935015,10.83296634,10.96825117,11.10522546,11.25508456,11.40696594,11.56089686,11.71690501,11.8750184,11.92233453,11.96983918,12.01753312,12.0654171,12.11349187,12.19355198,12.27414121,12.35526308,12.43692109,12.51911879,12.65442505,12.79119369,12.92944052,13.06918152,13.21043284,13.389713,13.57142619,13.75560543,13.94228419,14.13149639
"9","BDI",0.492526575,0.498591403,0.504730913,0.510946022,0.517237662,0.523606776,0.537613632,0.551995181,0.566761447,0.581922721,0.597489571,0.622828978,0.649243025,0.676777286,0.705479269,0.735398497,0.770674089,0.807641779,0.846382736,0.886982019,0.929528768,0.979510183,1.032179133,1.087680131,1.146165455,1.207795577,1.274147052,1.344143612,1.417985505,1.495883976,1.578061879,1.667727798,1.762488559,1.862633653,1.96846902,2.080317982,2.197883693,2.322093435,2.453322684,2.591968135,2.738448904,2.889367256,3.048602852,3.216614064,3.393884523,3.580924514
"10","BEN",1.354817347,1.368352554,1.382022983,1.395829986,1.409774927,1.423859184,1.437960703,1.452201881,1.466584099,1.481108754,1.495777258,1.530530843,1.566091909,1.602479218,1.639711966,1.677809797,1.730774677,1.785411546,1.841773184,1.899914039,1.959890277,2.028810187,2.100153679,2.174005978,2.250455307,2.329592991,2.414971324,2.503478726,2.595229877,2.690343658,2.788943309,2.901133193,3.017836101,3.139233578,3.265514471,3.396875222,3.541939658,3.693199108,3.850918132,4.015372587,4.186850113,4.372162588,4.565677104,4.767756687,4.978780432,5.199144214
"11","BFA",1.008908386,1.03314092,1.057955484,1.083366059,1.109386959,1.136032844,1.173513674,1.2122311,1.252225919,1.293540277,1.336217708,1.388633495,1.443105396,1.499714065,1.558543321,1.619680271,1.686652337,1.756393628,1.829018647,1.904646633,1.983401757,2.065306253,2.150592991,2.239401641,2.331877641,2.428172434,2.527349528,2.630577444,2.738021637,2.849854316,2.966254726,3.094363049,3.228004188,3.367417097,3.512851052,3.664566093,3.83013488,4.003184232,4.184052128,4.373091817,4.570672511,4.781239772,5.0015077,5.231923197,5.472953754,5.725088397
