"","region","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050"
"1","AFG","0.350919786535794","0.366857354020118","0.383588627739245","0.401084740188713","0.419397759249475","0.438570608603881","0.44603996127232","0.45347524075615","0.460998358964774","0.468620947357264","0.476313808549811","0.482344523792254","0.488426878720736","0.494563835951225","0.500760085463785","0.506995117877942","0.51367135631308","0.520414964609733","0.527236747193828","0.534135782708502","0.540793028136552","0.547356913500185","0.553670920732568","0.560060482232054","0.566148481155347","0.572117787618965","0.578287147237388","0.58448138481533","0.590659057804542","0.596847107850527","0.603059127391725","0.609527394458655","0.616032321022384","0.622566061923209","0.629136486979665","0.635735039762099","0.642345705422406","0.649071613985977","0.655918240765169","0.662893378113062","0.670029229601566","0.676862681696056","0.683838594125661","0.690855031017994","0.698000300646053","0.705277999035077"
"2","AGO","0.445213262763405","0.470153676459339","0.496527466053759","0.524409655228534","0.553906966584303","0.585121731383444","0.596516466394071","0.608078536864784","0.619829127007373","0.631794698987101","0.643936974081603","0.658749040215536","0.673869883593346","0.689313062557167","0.705091325597985","0.721228444263393","0.725979689665151","0.730827351186099","0.735771178281477","0.740780710448147","0.745315327407882","0.744968817184844","0.744182881890161","0.743274699549607","0.742075394802728","0.740643610317526","0.736355288997276","0.732192014233382","0.728062019226455","0.723976726706714","0.719967143927452","0.717866135428248","0.715773469797448","0.713675166945218","0.711578026187724","0.709488613295014","0.711063856632016","0.712617415425579","0.71415807662342","0.715694690851244","0.717246172779437","0.721278375751881","0.725267169992423","0.729209128598894","0.733148480814292","0.737172781075628"
"3","ALB","1.53273823008249","1.56738530634914","1.60278812536203","1.63881930160466","1.67544946338899","1.71270725337709","1.73415794765059","1.75571348788406","1.77735491768456","1.7992228906244","1.82109846033028","1.84292778121719","1.86489130103343","1.88700931063124","1.90932878762885","1.93180049222388","1.95097213249278","1.97024385243686","1.98964486863101","2.00915490284255","2.02741752717998","2.04159499535114","2.05468957462667","2.0676658967694","2.07932522731284","2.09023571478838","2.0990029557296","2.1075328250187","2.11572377858523","2.12364095564622","2.1313318875693","2.13657660422546","2.14157074186834","2.1462600022657","2.15064497346464","2.15476696297004","2.15614969735675","2.15747903134519","2.15876530433099","2.16002833092084","2.16136552495423","2.15898886718107","2.15669338878267","2.15436082383271","2.1522087585704","2.15032336409894"
"4","ARG","1.39626593587279","1.42787503926817","1.46028108531144","1.49341825314389","1.52726330832492","1.56187177157399","1.58623585976099","1.61081559266763","1.63559933207514","1.66066887005457","1.68592044610169","1.70728222134118","1.72876563089584","1.75036332395184","1.77212889135112","1.79406815668709","1.8122856521499","1.83062079116217","1.84911246641108","1.86770380220004","1.88523809081058","1.89883159619987","1.91134276351361","1.92393750478924","1.93519761678807","1.94582036987047","1.95398294521361","1.96205217595197","1.96982097329509","1.97735589777991","1.98471251666607","1.98925530978395","1.99359699057746","1.99770737129706","2.0015757450574","2.00518148868027","2.00540254849206","2.00553849649255","2.0055997753857","2.00562284725455","2.00564093861164","2.00267735581471","1.99975878695306","1.99670776502042","1.99372262150979","1.99084083750117"
"5","ARM","1.35137899036952","1.38147696119464","1.41216784212538","1.44330230726273","1.47483951071149","1.50680428326651","1.53454681833601","1.56243296247079","1.59042361797662","1.61870500342154","1.64698422928763","1.67296657035624","1.69911553586344","1.72540979887215","1.75193315561368","1.77860163012109","1.80128271286992","1.82405543337882","1.84694687863327","1.86993459512363","1.89154705119081","1.90885539182604","1.92507112329309","1.94107501293455","1.95576980311762","1.96966000470808","1.98095667139201","1.99199248594693","2.00266443370046","2.01300838135965","2.02310923557239","2.02991533784528","2.03647821680709","2.04274622597353","2.04874503941415","2.05450426964594","2.05666758061461","2.0588644550345","2.06113462842543","2.06350688808864","2.06613434446044","2.06463240533597","2.06303786048959","2.06128733668607","2.05954572934528","2.05790266502965"
"6","AUS","1.66328920517925","1.69266377503481","1.72275743527968","1.75351591832692","1.7849063756631","1.81701824397411","1.84394190053115","1.87114138052023","1.8985927199225","1.92639089363755","1.95442657204957","1.97963873829803","2.00503964928612","2.03061080621301","2.05641397963822","2.0824214544853","2.10242136949342","2.1225613665324","2.14288968515787","2.16333883962481","2.18273722649131","2.19694010043139","2.20999685900997","2.22333807066049","2.23517767279155","2.24641266434926","2.25478017523474","2.26310361840156","2.27113658576439","2.27896878843238","2.28665464358637","2.29170788810574","2.29660077336505","2.30128979969018","2.30577866729384","2.31004684741953","2.31083669563152","2.31161026493308","2.31238537956669","2.31315419752197","2.31394642111277","2.31081694983399","2.30780814719497","2.30467358889751","2.30166863309504","2.29882452224685"
"7","AUT","1.73067405109113","1.75402272989313","1.77785733946316","1.80208606660481","1.82667109820085","1.85169604147367","1.87672921626558","1.90197738159473","1.92741716573713","1.95314901169632","1.9790696805275","2.00142286261669","2.02398958613316","2.046746619041","2.06974889504946","2.09290065723344","2.11125336894736","2.12980988827614","2.14862022075912","2.16761081862274","2.18544274981775","2.19919940333057","2.21172057601477","2.22449005740952","2.23569446381433","2.24621885013902","2.2547798523088","2.26327835939246","2.27145617129712","2.27938272347885","2.28712424409982","2.29259430163724","2.29783781280312","2.30277643260492","2.30743150899609","2.31174889244939","2.31311602946078","2.31440640439005","2.31559345670952","2.31662504673647","2.31755850663528","2.31476601940517","2.31203597236099","2.3090011255416","2.305972274748","2.3029635648488"
"8","AZE","0.985272794747648","1.0350252830058","1.08731999890315","1.14205092915264","1.19935421956684","1.2593496352914","1.27292274568543","1.28649652312863","1.30004831041126","1.31374228499296","1.32735978440313","1.34162116837201","1.35596059378712","1.37030618385566","1.38477151204226","1.39933237173556","1.40836169871821","1.41747637078691","1.42671118559709","1.43604786645907","1.44424385196636","1.45016407815395","1.45519138021342","1.46001981506914","1.46396124334132","1.46731713055553","1.46643782675027","1.46555634672674","1.46454789476087","1.46343410886063","1.46231809880348","1.4606762702953","1.45899430999172","1.45721281092259","1.455341858929","1.4534317232775","1.45136176940168","1.44935080990832","1.44742121399457","1.44559232898103","1.4439499970508","1.44111138475786","1.43823057782366","1.43527240235595","1.43234079472334","1.42950118948436"
"9","BDI","0.773486624830155","0.782201835727982","0.791037918658757","0.800054503502361","0.809160279272508","0.818335415807507","0.829418902557452","0.840510249663798","0.851680913039584","0.862866799928221","0.874011810905045","0.889456484468835","0.905019208402463","0.920706606919368","0.936542534543593","0.952507920141179","0.9691128833859","0.985857317310887","1.00270830446867","1.01968592962771","1.03602849230919","1.05168224900216","1.06683628582118","1.08154609087956","1.0958725181889","1.109699673664","1.1228951308815","1.13582300663319","1.14857590765299","1.16113501060997","1.17351327711965","1.1843959070155","1.195047553824","1.20544641135407","1.21560369018263","1.22556716227422","1.23515597165598","1.24465000243891","1.25405341045739","1.26340373692993","1.2727363043725","1.2790997747007","1.28538316306566","1.29159962896955","1.2977951473366","1.30403866347386"
"10","BEN","0.728680586078404","0.736177124843486","0.743757138265219","0.751407849713255","0.75912487896087","0.766885870996475","0.774700506727344","0.782525443036443","0.790363228386723","0.798241821777029","0.806095157044931","0.816460990404645","0.826871642621391","0.8373496213831","0.847915408870426","0.858570052061416","0.87185359548334","0.885208367739329","0.898635713149452","0.912130668412795","0.925009258334459","0.935801905879762","0.946010189683194","0.955832352085833","0.965194637116859","0.974097378172834","0.985206564470054","0.996137004262445","1.00685591200613","1.0173512127869","1.02765839773069","1.03590060229359","1.04390205540689","1.05165471935017","1.05916273043306","1.06648420894492","1.07527448221157","1.08394805022966","1.09252718524294","1.10105919708376","1.10957950778676","1.11615763168038","1.12267601231591","1.12912081166866","1.13560527543072","1.14217107650834"
